,Place
conf/sas/2010,None
conf/minenet/2006,None
conf/pods/2009,None
conf/dls/2005,None
conf/java/2000,None
conf/eurocrypt/89,None
conf/iswc/2007,None
conf/icfp/2002,None
conf/sigir/2011,None
conf/hri/2015,None
conf/caise/2006,None
conf/uml/2005se,None
conf/msr/2007,None
conf/pomc/2002,None
conf/dimva/2012,None
conf/mobihoc/2008mm,None
conf/atal/1999,None
conf/spin/1999,None
conf/formats/2008,None
conf/arts/1999,None
conf/eccv/2012-1,None
conf/podc/1988,None
conf/fpca/1993,None
conf/agentCL/2000,None
conf/sigcomm/2009wren,None
conf/nspw/2000,None
conf/sigsoft/1994,None
conf/cp/1997,None
conf/focs/2007,None
conf/acsac/2006,None
conf/sigmod/91,None
conf/icde/2008,None
conf/concur/2008,None
conf/semweb/2013-1,None
conf/re/1997,None
conf/dialm/2000,None
conf/oopsla/2004p,None
conf/sc/2012,None
conf/icalp/1998,None
conf/caise/2008ciao,None
conf/sdm/2006,None
conf/sacrypt/2000,None
conf/host/2008,None
conf/bmvc/2002,None
conf/icalp/2009-1,None
conf/jsspp/2004,None
conf/fase/1998,None
conf/esop/2001,None
conf/cade/2009,None
conf/and/2010,None
conf/charme/1999,None
conf/aosd/2002,None
conf/ants/2002,None
conf/pods/87,None
conf/atal/2005i,None
conf/nossdav/2002,None
conf/tls/1987,None
conf/indocrypt/2006,None
conf/lics/1990,None
conf/kdd/2008pin,None
conf/ccs/2011aisec,None
conf/cade/2001,None
conf/frocos/2005,None
conf/icde/2012,None
conf/formats/2005,None
conf/sas/2001,None
conf/wmcsa/2002,None
conf/atmos/2004,None
conf/lics/1991,None
conf/hri/2008,None
conf/cloud/2014,None
conf/sigcomm/2014,None
conf/sas/2004,None
conf/tcc/2016b2,None
conf/esorics/2004,None
conf/lats/2014,None
conf/cade/1992,None
conf/crypto/2016-3,None
conf/recsys/2010recsystel,None
conf/rex/1989,None
conf/swis/2007,None
conf/patat/1997,None
conf/asplos/1992,None
conf/ssd/91,None
conf/uist/1999,None
conf/fates/2004,None
conf/ecoop/2000,None
conf/iticse/2013wgr,None
conf/kdd/2007web,None
conf/wpes/2007,None
conf/sigcomm/2017,None
conf/ACMdis/2014,None
conf/cikm/2004,None
conf/iui/2013,None
conf/ppsn/1996,None
conf/cikm/98,None
conf/ma/1997,None
conf/sas/2009,None
conf/ipsn/2008,None
conf/perdis/2012,None
conf/ac/2003gp,None
conf/concur/1995,None
conf/bpm/2011w1,None
conf/esec/1999,None
conf/ecoop/1993,None
conf/ccs/2015,None
conf/esop/2014,None
conf/cans/2009,None
conf/hcw/1998,None
conf/ewsn/2006,None
conf/sacrypt/2011,None
conf/iccv/1998,None
conf/ppsn/1990,None
conf/ofai/1997,None
conf/iwlcs/2001,None
conf/caise/2000,None
conf/uml/2003,None
conf/psd/2004,None
conf/cardis/2008,None
conf/mdafa/2004,None
conf/er/2000w,None
conf/fgr/2000,None
conf/imc/2003,None
conf/pldi/2012soap,None
conf/icdm/2006,None
conf/pods/2013,None
conf/antsw/2004,None
conf/ssd/97,None
conf/icfp/2011,None
conf/spieSR/1996,None
conf/sdmw/2010,None
conf/uml/1999,None
conf/ppopp/2013,None
conf/fdtc/2013,None
conf/ptw/2008,None
conf/edbt/2010,None
conf/iciss/2008,None
conf/pods/2014,None
conf/micro/2008,None
conf/ppcp/1994,None
conf/sigecom/2010,None
conf/lpnmr/2007,None
conf/grid/2001,None
conf/sigmod/88,None
conf/sigsoft/2010,None
conf/iccs/2000,None
conf/wikis/2007,None
conf/cgo/2012,None
conf/sacmat/2007,None
conf/mobisys/2016,None
conf/amfg/2007,None
conf/ccs/2008stc,None
conf/birthday/1991mccarthy,None
conf/recsys/2013repsys,None
conf/tlca/1995,None
conf/wdag/2002,None
conf/isw/2005,None
conf/nspw/1996,None
conf/hotnets/2012,None
conf/waw/2007,None
conf/cav/1992,None
conf/wpes/2004,None
conf/mobicom/2008vanet,None
conf/pkdd/2008-2,None
conf/icics/1997,None
conf/fase/2012,None
conf/eurosp/2016,None
conf/oopsla/1997,None
conf/csfw/2007,None
conf/ftrtft/2002,None
conf/wpes/2011,None
conf/bmvc/2009,None
conf/sc/2003,None
conf/trust/2012,None
conf/uist/1994,None
conf/fse/2014,None
